<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20090601,103000,109575.0000000,116955.0000000,109575.0000000,113630.0000000,16103
20090601,103500,113650.0000000,114700.0000000,113600.0000000,114585.0000000,13104
20090601,104000,114585.0000000,115135.0000000,114360.0000000,114890.0000000,10081
20090601,104500,114870.0000000,114935.0000000,114250.0000000,114410.0000000,8201
20090601,105000,114450.0000000,114770.0000000,114315.0000000,114695.0000000,5215
20090601,105500,114680.0000000,114700.0000000,114385.0000000,114405.0000000,5245
20090601,110000,114405.0000000,114545.0000000,114055.0000000,114215.0000000,8357
20090601,110500,114210.0000000,114845.0000000,114070.0000000,114820.0000000,7495
20090601,111000,114820.0000000,114955.0000000,114615.0000000,114930.0000000,6516
20090601,111500,114955.0000000,115475.0000000,114850.0000000,115335.0000000,9690
20090601,112000,115320.0000000,115770.0000000,115205.0000000,115680.0000000,5690
20090601,112500,115680.0000000,116440.0000000,115645.0000000,116440.0000000,10259
20090601,113000,116415.0000000,116595.0000000,116225.0000000,116595.0000000,8583
20090601,113500,116550.0000000,116690.0000000,115805.0000000,115805.0000000,10170
20090601,114000,115820.0000000,116260.0000000,115790.0000000,115975.0000000,5320
20090601,114500,115980.0000000,116170.0000000,115825.0000000,116060.0000000,4268
20090601,115000,116065.0000000,116110.0000000,115620.0000000,115880.0000000,5716
20090601,115500,115860.0000000,116025.0000000,115695.0000000,115700.0000000,2587
